Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Wann wird's mal wieder richtig Sommer,Rudi Carrell,9999,,,,DEF457500504
2,You Can Call Me Al,Paul Simon,9999,,,,USSM11002274
3,Start Me Up - Remastered 2009,The Rolling Stones,9999,,,,GBUM70909474
4,The Twist,Chubby Checker,9999,,,,USI4R0502237
5,Blurred Lines,Robin Thicke,9999,,,,USUM71302150
6,Hangover,Taio Cruz,9999,,,,GBUM71108687
7,One More Time - Radio Edit [Short Radio Edit],Daft Punk,9999,,,,GBDUW0000054
8,China In Your Hand - Single Version,T'Pau,9999,,,,GBAAA8700001
9,The Best,Tina Turner,9999,,,,USCA28900109
10,The Hustle,Van McCoy & The Soul City Symphony,9999,,,,GBF087500039
11,Piece of My Heart,Erma Franklin,9999,,,,USSM11100157
12,"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",Eric Carmen,9999,,,,USBMG0100041
13,Karma Chameleon,Culture Club,9999,,,,GBAAA8300010
14,99 Luftballons,Nena,9999,,,,DEE868300011
15,Beinhart - Single Version,Torfrock,9999,,,,DEZ650603481
16,In Da Club,50 Cent,9999,,,,USIR10300033
17,Don't Go,Yazoo,9999,,,,GBAJH9600227
18,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,9999,,,,USAR18700121
19,7 Years,Lukas Graham,9999,,,,USWB11506516
20,Sugar-Baby,Peter Kraus,9999,,,,DEF066310300
21,Lean On (feat. MØ & DJ Snake),Major Lazer,9999,,,,QMUY41500008
22,Einmal um die Welt,CRO,9999,,,,DEW921100151
23,Ich will keine Schokolade,Trude Herr,9999,,,,DEF075902660
24,80 Millionen,Max Giesinger,9999,,,,DELV41600001
25,Friday I'm In Love,The Cure,9999,,,,GBALB9200002
26,"What Is Love - 7"" Mix",Haddaway,9999,,,,DEA410500401
27,Auf uns,Andreas Bourani,9999,,,,DEUM71400465
28,Don't Stop Believin',Journey,9999,,,,USSM18100116
29,Orinoco Flow,Enya,9999,,,,GBAHT8802584
30,Über den Wolken,Reinhard Mey,9999,,,,DEC649800506
31,Rehab,Amy Winehouse,9999,,,,GBUM70603730
32,Liebeskummer lohnt sich nicht,Siw Malmkvist,9999,,,,SEPQD6421810
33,You Make Me Feel (Mighty Real),Sylvester,9999,,,,USC4R2002968
34,Sweet Home Alabama,Lynyrd Skynyrd,9999,,,,USMC17446153
35,He Ain't Heavy He's My Brother,The Hollies,9999,,,,GBGYU6900005
36,Eine neue Liebe ist wie ein neues Leben,Jürgen Marcus,9999,,,,DEA370803298
37,Manic Monday,The Bangles,9999,,,,USSM10017495
38,Paradise By the Dashboard Light,Meat Loaf,9999,,,,USSM11206829
39,Never Ending Story,Limahl,9999,,,,GBAYE8400104
40,Don't Call Me Up,Mabel,9999,,,,GBUM71808052
41,Under the Bridge,Red Hot Chili Peppers,9999,,,,USWB19901576
42,König von Deutschland,Rio Reiser,9999,,,,DEE868600085
43,Upside Down - Single Version,Diana Ross,9999,,,,USMO19290042
44,Don't Speak,No Doubt,9999,,,,USIR19500279
45,(I Can't Get No) Satisfaction - Mono,The Rolling Stones,9999,,,,USA176510160
46,Dilemma (feat. Kelly Rowland),Nelly,9999,,,,USSM10211190
47,Lola,The Kinks,9999,,,,GBAJE0701939
48,Captain Jack - Short Mix,Captain Jack,9999,,,,DED710506011
49,True Colors,Cyndi Lauper,9999,,,,USSM18600632
50,Hey Ya!,Outkast,9999,,,,USAR10300924
51,Guajira Guantanamera,Joseito Fernández,9999,,,,FR6V81371636
52,La Cintura,Alvaro Soler,9999,,,,DEUM71800524
53,Sick and Tired,Anastacia,9999,,,,USSM10401046
54,If You Leave Me Now,Chicago,9999,,,,USRH10285535
55,"Siebzehn Jahr, blondes Haar",Udo Jürgens,9999,,,,DEA817200002
56,Murder On The Dancefloor,Sophie Ellis-Bextor,9999,,,,GBAKW0100229
57,Sing Hallelujah!,Dr. Alban,9999,,,,DEA819200295
58,Set Fire to the Rain,Adele,9999,,,,GBBKS1000348
59,Herz an Herz,Blümchen,9999,,,,DEBL60605312
60,Tage wie diese,Die Toten Hosen,9999,,,,DEF241230001
61,Sweet Caroline,Neil Diamond,9999,,,,USMC16991138
62,Do Wah Diddy Diddy,Manfred Mann,9999,,,,GBAYE6400100
63,Über sieben Brücken musst du gehn,Karat,9999,,,,DEC719400666
64,Don't Leave Me This Way,Thelma Houston,9999,,,,USUM71303881
65,Can't Hold Us (feat. Ray Dalton),Macklemore,9999,,,,GMM881200021
66,Do You Know? (The Ping Pong Song),Enrique Iglesias,9999,,,,USUM70731257
67,Warum?,Tic Tac Toe,9999,,,,DEAF71252078
68,Gimme Hope Jo'Anna,Eddy Grant,9999,,,,GBQRF0846342
69,Wind of Change,Scorpions,9999,,,,DEE861101520
70,Le Freak - 2018 Remaster,CHIC,9999,,,,USRH11803129
71,Haus am See,Peter Fox,9999,,,,DEA620800624
72,Poker Face,Lady Gaga,9999,,,,USUM70824409
73,It's a Heartache,Bonnie Tyler,9999,,,,GBAJE7700003
74,Johnny B. Goode,Chuck Berry,9999,,,,USMC15719963
75,White Wedding,Billy Idol,9999,,,,USNPD1227957
76,"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,9999,,,,ITA731100419
